Demographics,nan,nan,Male,Female,,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),,18-24,25-34,35-44,45-54,55-64,,Always,Often,Sometimes,Rarely,Never,,Always,Often,Sometimes,Rarely,Never,,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,nan,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,nan,nan,nan
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34%,,35%,33%, ,33%,32%,32%,42%,36%, ,26%,35%,34%,35%,38%, ,0.395256916996047,0.3828125,0.283524904214559,0.195402298850575,0.117647058823529, ,0.378048780487805,0.434944237918216,0.375302663438257,0.177777777777778,0.0701754385964912, ,0.333333333333333,0.304761904761905,0.333333333333333,0.366013071895425,0.315789473684211,0.339622641509434,0.295454545454545,0.279569892473118,0.111111111111111,0.357142857142857,0.337078651685393,0.636363636363636,0.283018867924528,0.555555555555556,0.349206349206349,0.349056603773585,0.321428571428571,0.4375,0.307692307692308,0.368421052631579,0, ,0.309701492537313,0.349206349206349,0.306122448979592,0.333333333333333,0.354838709677419,0.444444444444444,0.320754716981132,0.409574468085106,0.294520547945205,0.456521739130435,0, ,0.352320675105485,0.355263157894737,0.345794392523364,0.361111111111111,0.382775119617225,0.462264150943396,0.405844155844156,0.357541899441341,0.312302839116719,0.376344086021505,0.2, ,0.282608695652174,0.333333333333333,0.349862258953168
"Tells me a story about the brand / product
 - Neither",315,,138,177, ,101,85,86,26,17, ,37,70,88,54,66, ,63,113,104,29,6, ,14,63,155,64,19, ,3,36,6,92,21,20,14,32,8,11,94,1,13,4,17,38,16,3,29,12,0, ,92,18,12,12,20,3,32,58,51,14,3, ,162,89,63,67,53,25,86,107,103,60,4, ,63,54,219
,31%,,28%,35%, ,36%,31%,31%,23%,32%, ,29%,31%,34%,26%,38%, ,0.24901185770751,0.294270833333333,0.398467432950192,0.333333333333333,0.352941176470588, ,0.170731707317073,0.234200743494424,0.375302663438257,0.355555555555556,0.333333333333333, ,0.25,0.342857142857143,0.25,0.300653594771242,0.368421052631579,0.377358490566038,0.318181818181818,0.344086021505376,0.296296296296296,0.392857142857143,0.352059925093633,0.0909090909090909,0.245283018867925,0.222222222222222,0.26984126984127,0.358490566037736,0.285714285714286,0.1875,0.247863247863248,0.315789473684211,0, ,0.343283582089552,0.285714285714286,0.244897959183673,0.266666666666667,0.32258064516129,0.166666666666667,0.30188679245283,0.308510638297872,0.349315068493151,0.304347826086957,0.272727272727273, ,0.341772151898734,0.292763157894737,0.294392523364486,0.310185185185185,0.253588516746411,0.235849056603774,0.279220779220779,0.298882681564246,0.324921135646688,0.32258064516129,0.4, ,0.342391304347826,0.375,0.301652892561983
"Tells me a story about the brand / product
 - Not very impactful",145,,66,79, ,42,41,40,13,9, ,22,40,33,33,17, ,24,59,44,14,4, ,8,31,48,47,11, ,2,11,4,42,9,9,4,19,2,4,43,1,16,2,7,14,9,1,20,2,0, ,40,10,7,4,8,2,18,21,25,7,3, ,57,41,26,30,28,11,41,54,49,17,2, ,35,21,95
,14%,,13%,15%, ,15%,15%,14%,12%,17%, ,17%,18%,13%,16%,10%, ,0.0948616600790514,0.153645833333333,0.168582375478927,0.160919540229885,0.235294117647059, ,0.0975609756097561,0.115241635687732,0.116222760290557,0.261111111111111,0.192982456140351, ,0.166666666666667,0.104761904761905,0.166666666666667,0.137254901960784,0.157894736842105,0.169811320754717,0.0909090909090909,0.204301075268817,0.0740740740740741,0.142857142857143,0.161048689138577,0.0909090909090909,0.30188679245283,0.111111111111111,0.111111111111111,0.132075471698113,0.160714285714286,0.0625,0.170940170940171,0.0526315789473684,0, ,0.149253731343284,0.158730158730159,0.142857142857143,0.0888888888888889,0.129032258064516,0.111111111111111,0.169811320754717,0.111702127659574,0.171232876712329,0.152173913043478,0.272727272727273, ,0.120253164556962,0.134868421052632,0.121495327102804,0.138888888888889,0.133971291866029,0.10377358490566,0.133116883116883,0.150837988826816,0.154574132492114,0.0913978494623656,0.2, ,0.190217391304348,0.145833333333333,0.130853994490358
"Tells me a story about the brand / product
 - Not at all impactful",91,,50,41, ,20,30,24,15,2, ,14,19,20,28,10, ,19,28,19,22,3, ,3,9,24,34,21, ,2,11,5,23,6,4,6,8,10,1,22,0,5,1,4,7,5,0,12,5,0, ,31,3,7,7,4,2,7,13,12,0,5, ,26,22,23,13,15,2,18,22,24,9,2, ,15,11,70
,9%,,10%,8%, ,7%,11%,9%,13%,4%, ,11%,8%,8%,13%,6%, ,0.075098814229249,0.0729166666666667,0.0727969348659004,0.252873563218391,0.176470588235294, ,0.0365853658536585,0.033457249070632,0.0581113801452785,0.188888888888889,0.368421052631579, ,0.166666666666667,0.104761904761905,0.208333333333333,0.0751633986928105,0.105263157894737,0.0754716981132075,0.136363636363636,0.0860215053763441,0.37037037037037,0.0357142857142857,0.0823970037453183,0,0.0943396226415094,0.0555555555555556,0.0634920634920635,0.0660377358490566,0.0892857142857143,0,0.102564102564103,0.131578947368421,0, ,0.115671641791045,0.0476190476190476,0.142857142857143,0.155555555555556,0.0645161290322581,0.111111111111111,0.0660377358490566,0.0691489361702128,0.0821917808219178,0,0.454545454545455, ,0.0548523206751055,0.0723684210526316,0.107476635514019,0.0601851851851852,0.0717703349282297,0.0188679245283019,0.0584415584415584,0.0614525139664804,0.0757097791798107,0.0483870967741935,0.2, ,0.0815217391304348,0.0763888888888889,0.0964187327823691
"Unique claims / brand attributes
 - Very impactful ",119,,65,54, ,28,39,38,10,4, ,19,21,41,18,20, ,51,48,17,2,1, ,27,55,30,6,1, ,0,16,2,34,5,7,8,9,2,5,21,3,2,2,12,16,8,3,26,6,0, ,21,10,9,4,7,4,13,28,15,8,0, ,51,40,29,32,26,25,51,52,44,32,0, ,17,12,96
,12%,,13%,11%, ,10%,14%,14%,9%,8%, ,15%,9%,16%,9%,11%, ,0.201581027667984,0.125,0.0651340996168582,0.0229885057471264,0.0588235294117647, ,0.329268292682927,0.204460966542751,0.0726392251815981,0.0333333333333333,0.0175438596491228, ,0,0.152380952380952,0.0833333333333333,0.111111111111111,0.087719298245614,0.132075471698113,0.181818181818182,0.0967741935483871,0.0740740740740741,0.178571428571429,0.0786516853932584,0.272727272727273,0.0377358490566038,0.111111111111111,0.19047619047619,0.150943396226415,0.142857142857143,0.1875,0.222222222222222,0.157894736842105,0, ,0.0783582089552239,0.158730158730159,0.183673469387755,0.0888888888888889,0.112903225806452,0.222222222222222,0.122641509433962,0.148936170212766,0.102739726027397,0.173913043478261,0, ,0.107594936708861,0.131578947368421,0.135514018691589,0.148148148148148,0.124401913875598,0.235849056603774,0.165584415584416,0.145251396648045,0.138801261829653,0.172043010752688,0, ,0.0923913043478261,0.0833333333333333,0.132231404958678
"Unique claims / brand attributes
 - Fairly Impactful",344,,181,163, ,96,95,83,47,23, ,51,77,93,69,54, ,108,134,76,20,6, ,30,131,143,33,7, ,7,40,6,118,14,15,13,31,6,9,98,2,23,5,31,33,14,8,41,13,0, ,84,22,18,21,22,6,38,73,45,14,1, ,189,115,74,80,86,50,119,141,132,75,2, ,58,47,253
,34%,,37%,32%, ,34%,34%,30%,42%,43%, ,40%,34%,36%,33%,31%, ,0.426877470355731,0.348958333333333,0.291187739463602,0.229885057471264,0.352941176470588, ,0.365853658536585,0.486988847583643,0.346246973365617,0.183333333333333,0.12280701754386, ,0.583333333333333,0.380952380952381,0.25,0.38562091503268,0.245614035087719,0.283018867924528,0.295454545454545,0.333333333333333,0.222222222222222,0.321428571428571,0.367041198501873,0.181818181818182,0.433962264150943,0.277777777777778,0.492063492063492,0.311320754716981,0.25,0.5,0.35042735042735,0.342105263157895,0, ,0.313432835820896,0.349206349206349,0.36734693877551,0.466666666666667,0.354838709677419,0.333333333333333,0.358490566037736,0.388297872340426,0.308219178082192,0.304347826086957,0.0909090909090909, ,0.39873417721519,0.378289473684211,0.345794392523364,0.37037037037037,0.411483253588517,0.471698113207547,0.386363636363636,0.393854748603352,0.416403785488959,0.403225806451613,0.2, ,0.315217391304348,0.326388888888889,0.348484848484849
"Unique claims / brand attributes
 - Neither",338,,148,190, ,103,84,99,34,18, ,33,83,75,78,69, ,54,132,117,30,5, ,15,56,166,79,21, ,4,29,11,101,24,18,12,31,6,6,93,4,16,8,12,34,20,4,29,12,0, ,95,21,12,12,22,6,38,57,51,20,4, ,162,100,66,72,65,19,96,111,97,54,4, ,67,57,234
,34%,,30%,37%, ,37%,30%,35%,30%,34%, ,26%,37%,29%,37%,39%, ,0.213438735177866,0.34375,0.448275862068966,0.344827586206897,0.294117647058824, ,0.182926829268293,0.20817843866171,0.401937046004843,0.438888888888889,0.368421052631579, ,0.333333333333333,0.276190476190476,0.458333333333333,0.330065359477124,0.421052631578947,0.339622641509434,0.272727272727273,0.333333333333333,0.222222222222222,0.214285714285714,0.348314606741573,0.363636363636364,0.30188679245283,0.444444444444444,0.19047619047619,0.320754716981132,0.357142857142857,0.25,0.247863247863248,0.315789473684211,0, ,0.354477611940299,0.333333333333333,0.244897959183673,0.266666666666667,0.354838709677419,0.333333333333333,0.358490566037736,0.303191489361702,0.349315068493151,0.434782608695652,0.363636363636364, ,0.341772151898734,0.328947368421053,0.308411214953271,0.333333333333333,0.311004784688995,0.179245283018868,0.311688311688312,0.310055865921788,0.305993690851735,0.290322580645161,0.4, ,0.364130434782609,0.395833333333333,0.322314049586777
"Unique claims / brand attributes
 - Not very impactful",136,,61,75, ,40,42,40,11,3, ,23,29,33,30,21, ,23,54,37,19,3, ,6,22,56,43,9, ,1,12,3,38,8,9,7,18,6,6,40,1,9,2,7,12,11,1,17,4,0, ,39,7,9,3,8,0,13,26,25,4,2, ,53,32,24,21,25,12,30,46,32,18,2, ,31,21,93
,14%,,12%,15%, ,14%,15%,14%,10%,6%, ,18%,13%,13%,14%,12%, ,0.0909090909090909,0.140625,0.14176245210728,0.218390804597701,0.176470588235294, ,0.0731707317073171,0.0817843866171004,0.135593220338983,0.238888888888889,0.157894736842105, ,0.0833333333333333,0.114285714285714,0.125,0.124183006535948,0.140350877192982,0.169811320754717,0.159090909090909,0.193548387096774,0.222222222222222,0.214285714285714,0.149812734082397,0.0909090909090909,0.169811320754717,0.111111111111111,0.111111111111111,0.113207547169811,0.196428571428571,0.0625,0.145299145299145,0.105263157894737,0, ,0.145522388059701,0.111111111111111,0.183673469387755,0.0666666666666667,0.129032258064516,0,0.122641509433962,0.138297872340426,0.171232876712329,0.0869565217391304,0.181818181818182, ,0.111814345991561,0.105263157894737,0.11214953271028,0.0972222222222222,0.119617224880383,0.113207547169811,0.0974025974025974,0.128491620111732,0.100946372239748,0.0967741935483871,0.2, ,0.168478260869565,0.145833333333333,0.128099173553719
"Unique claims / brand attributes
 - Not at all impactful",65,,35,30, ,14,16,19,11,5, ,3,15,19,16,12, ,17,16,14,16,2, ,4,5,18,19,19, ,0,8,2,15,6,4,4,4,7,2,15,1,3,1,1,11,3,0,4,3,0, ,29,3,1,5,3,2,4,4,10,0,4, ,19,17,21,11,7,0,12,8,12,7,2, ,11,7,50
,6%,,7%,6%, ,5%,6%,7%,10%,9%, ,2%,7%,7%,8%,7%, ,0.0671936758893281,0.0416666666666667,0.053639846743295,0.183908045977011,0.117647058823529, ,0.0487804878048781,0.0185873605947955,0.0435835351089588,0.105555555555556,0.333333333333333, ,0,0.0761904761904762,0.0833333333333333,0.0490196078431373,0.105263157894737,0.0754716981132075,0.0909090909090909,0.043010752688172,0.259259259259259,0.0714285714285714,0.0561797752808989,0.0909090909090909,0.0566037735849057,0.0555555555555556,0.0158730158730159,0.10377358490566,0.0535714285714286,0,0.0341880341880342,0.0789473684210526,0, ,0.108208955223881,0.0476190476190476,0.0204081632653061,0.111111111111111,0.0483870967741935,0.111111111111111,0.0377358490566038,0.0212765957446809,0.0684931506849315,0,0.363636363636364, ,0.040084388185654,0.0559210526315789,0.0981308411214953,0.0509259259259259,0.0334928229665072,0,0.038961038961039,0.0223463687150838,0.0378548895899054,0.0376344086021505,0.2, ,0.0597826086956522,0.0486111111111111,0.068870523415978
"Value deals / offers eg 2 for 1 offers
 - Very impactful ",470,,199,271, ,131,121,140,53,25, ,60,110,125,92,83, ,157,184,94,29,6, ,48,146,196,66,14, ,4,46,14,153,28,29,19,55,6,13,138,4,25,8,32,39,26,6,60,20,0, ,123,31,23,22,33,7,49,93,64,21,4, ,252,166,114,134,101,54,163,174,185,105,6, ,93,80,325
,47%,,41%,53%, ,47%,44%,50%,47%,47%, ,47%,49%,48%,44%,47%, ,0.620553359683794,0.479166666666667,0.360153256704981,0.333333333333333,0.352941176470588, ,0.585365853658537,0.54275092936803,0.474576271186441,0.366666666666667,0.245614035087719, ,0.333333333333333,0.438095238095238,0.583333333333333,0.5,0.491228070175439,0.547169811320755,0.431818181818182,0.591397849462366,0.222222222222222,0.464285714285714,0.51685393258427,0.363636363636364,0.471698113207547,0.444444444444444,0.507936507936508,0.367924528301887,0.464285714285714,0.375,0.512820512820513,0.526315789473684,0, ,0.458955223880597,0.492063492063492,0.469387755102041,0.488888888888889,0.532258064516129,0.388888888888889,0.462264150943396,0.49468085106383,0.438356164383562,0.456521739130435,0.363636363636364, ,0.531645569620253,0.546052631578947,0.532710280373832,0.62037037037037,0.483253588516746,0.509433962264151,0.529220779220779,0.486033519553073,0.583596214511041,0.564516129032258,0.6, ,0.505434782608696,0.555555555555556,0.447658402203857
"Value deals / offers eg 2 for 1 offers
 - Fairly Impactful",415,,222,193, ,117,118,110,48,22, ,55,95,107,91,67, ,75,168,129,38,5, ,21,97,174,94,28, ,6,49,9,129,24,21,16,32,11,8,111,4,26,10,21,46,23,6,45,14,0, ,111,22,21,18,23,7,41,77,69,19,7, ,181,106,75,62,90,38,116,152,107,62,4, ,76,51,311
,41%,,45%,38%, ,42%,43%,39%,42%,42%, ,43%,42%,41%,43%,38%, ,0.296442687747036,0.4375,0.494252873563218,0.436781609195402,0.294117647058824, ,0.25609756097561,0.360594795539033,0.421307506053269,0.522222222222222,0.491228070175439, ,0.5,0.466666666666667,0.375,0.42156862745098,0.421052631578947,0.39622641509434,0.363636363636364,0.344086021505376,0.407407407407407,0.285714285714286,0.415730337078652,0.363636363636364,0.490566037735849,0.555555555555556,0.333333333333333,0.433962264150943,0.410714285714286,0.375,0.384615384615385,0.368421052631579,0, ,0.414179104477612,0.349206349206349,0.428571428571429,0.4,0.370967741935484,0.388888888888889,0.386792452830189,0.409574468085106,0.472602739726027,0.41304347826087,0.636363636363636, ,0.381856540084388,0.348684210526316,0.350467289719626,0.287037037037037,0.430622009569378,0.358490566037736,0.376623376623377,0.424581005586592,0.337539432176656,0.333333333333333,0.4, ,0.41304347826087,0.354166666666667,0.428374655647383
"Value deals / offers eg 2 for 1 offers
 - Neither",84,,51,33, ,24,27,21,6,6, ,11,16,25,19,13, ,15,24,29,12,4, ,11,20,31,15,7, ,0,7,0,19,3,1,6,6,8,3,15,2,1,0,7,16,2,4,9,2,0, ,22,8,4,2,5,3,11,14,10,5,0, ,35,23,18,15,12,13,20,25,16,16,0, ,12,8,65
,8%,,10%,6%, ,9%,10%,8%,5%,11%, ,9%,7%,10%,9%,7%, ,0.0592885375494071,0.0625,0.111111111111111,0.137931034482759,0.235294117647059, ,0.134146341463415,0.0743494423791822,0.0750605326876513,0.0833333333333333,0.12280701754386, ,0,0.0666666666666667,0,0.0620915032679739,0.0526315789473684,0.0188679245283019,0.136363636363636,0.0645161290322581,0.296296296296296,0.107142857142857,0.0561797752808989,0.181818181818182,0.0188679245283019,0,0.111111111111111,0.150943396226415,0.0357142857142857,0.25,0.0769230769230769,0.0526315789473684,0, ,0.082089552238806,0.126984126984127,0.0816326530612245,0.0444444444444444,0.0806451612903226,0.166666666666667,0.10377358490566,0.074468085106383,0.0684931506849315,0.108695652173913,0, ,0.0738396624472574,0.0756578947368421,0.0841121495327103,0.0694444444444444,0.0574162679425837,0.122641509433962,0.0649350649350649,0.0698324022346369,0.0504731861198738,0.0860215053763441,0, ,0.0652173913043478,0.0555555555555556,0.0895316804407714
"Value deals / offers eg 2 for 1 offers
 - Not very impactful",27,,16,11, ,9,9,6,3,0, ,3,4,4,7,9, ,5,8,9,4,1, ,2,5,12,5,3, ,2,3,1,3,2,2,3,0,0,4,3,1,1,0,3,4,3,0,3,1,0, ,10,1,1,3,1,1,4,3,2,1,0, ,5,7,6,5,6,1,8,6,9,2,0, ,3,5,19
,3%,,3%,2%, ,3%,3%,2%,3%,0%, ,2%,2%,2%,3%,5%, ,0.0197628458498024,0.0208333333333333,0.0344827586206897,0.0459770114942529,0.0588235294117647, ,0.024390243902439,0.0185873605947955,0.0290556900726392,0.0277777777777778,0.0526315789473684, ,0.166666666666667,0.0285714285714286,0.0416666666666667,0.00980392156862745,0.0350877192982456,0.0377358490566038,0.0681818181818182,0,0,0.142857142857143,0.0112359550561798,0.0909090909090909,0.0188679245283019,0,0.0476190476190476,0.0377358490566038,0.0535714285714286,0,0.0256410256410256,0.0263157894736842,0, ,0.0373134328358209,0.0158730158730159,0.0204081632653061,0.0666666666666667,0.0161290322580645,0.0555555555555556,0.0377358490566038,0.0159574468085106,0.0136986301369863,0.0217391304347826,0, ,0.0105485232067511,0.0230263157894737,0.0280373831775701,0.0231481481481481,0.0287081339712919,0.00943396226415094,0.025974025974026,0.0167597765363128,0.028391167192429,0.010752688172043,0, ,0.016304347826087,0.0347222222222222,0.0261707988980716
"Value deals / offers eg 2 for 1 offers
 - Not at all impactful",6,,2,4, ,0,1,2,3,0, ,0,0,0,2,4, ,1,0,0,4,1, ,0,1,0,0,5, ,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0, ,2,1,0,0,0,0,1,1,1,0,0, ,1,2,1,0,0,0,1,1,0,1,0, ,0,0,6
,1%,,0%,1%, ,0%,0%,1%,3%,0%, ,0%,0%,0%,1%,2%, ,0.00395256916996047,0,0,0.0459770114942529,0.0588235294117647, ,0,0.00371747211895911,0,0,0.087719298245614, ,0,0,0,0.0065359477124183,0,0,0,0,0.0740740740740741,0,0,0,0,0,0,0.00943396226415094,0.0357142857142857,0,0,0.0263157894736842,0, ,0.00746268656716418,0.0158730158730159,0,0,0,0,0.00943396226415094,0.00531914893617021,0.00684931506849315,0,0, ,0.00210970464135021,0.00657894736842105,0.00467289719626168,0,0,0,0.00324675324675325,0.00279329608938547,0,0.00537634408602151,0, ,0,0,0.00826446280991736
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question 5 - Top 3 favourite Brands to buy in a supermarket, grocery store or off licence at Christmas time?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1002,,490,512, ,281,276,279,113,53, ,129,225,261,211,176, ,253,384,261,87,17, ,82,269,413,180,57, ,12,105,24,306,57,53,44,93,27,28,267,11,53,18,63,106,56,16,117,38,66, ,268,63,49,45,62,18,106,188,146,46,11, ,474,304,214,216,209,106,308,358,317,186,10, ,184,144,726
,100%,,49%,51%, ,28%,28%,28%,11%,5%, ,13%,22%,26%,21%,18%, ,25%,38%,26%,9%,2%, ,8%,27%,41%,18%,6%, ,1%,7%,2%,20%,4%,3%,3%,6%,2%,2%,17%,1%,3%,1%,4%,7%,4%,1%,8%,2%,4%, ,27%,6%,5%,4%,6%,2%,11%,19%,15%,5%,1%, ,47%,30%,21%,22%,21%,11%,31%,36%,32%,19%,1%, ,18%,14%,72%
Denny's,12,,9,3, ,4,3,4,0,1, ,1,2,1,5,3, ,5,3,3,1,0, ,0,4,4,3,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,3,0,1,0,1,4,1,0,1, ,6,4,4,2,3,0,6,3,4,3,0, ,0,2,10
,1%,,0.0183673469387755,0.005859375, ,0.0142348754448399,0.0108695652173913,0.014336917562724,0,0.0188679245283019, ,0.00775193798449612,0.00888888888888889,0.00383141762452107,0.023696682464455,0.0170454545454545, ,0.0197628458498024,0.0078125,0.0114942528735632,0.0114942528735632,0, ,0,0.0148698884758364,0.00968523002421308,0.0166666666666667,0.0175438596491228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.00373134328358209,0,0.0612244897959184,0,0.0161290322580645,0,0.00943396226415094,0.0212765957446809,0.00684931506849315,0,0.0909090909090909, ,0.0126582278481013,0.0131578947368421,0.0186915887850467,0.00925925925925926,0.0143540669856459,0,0.0194805194805195,0.00837988826815642,0.0126182965299685,0.0161290322580645,0, ,0,0.0138888888888889,0.0137741046831956
Jameson,105,,75,30, ,28,30,32,8,7, ,8,24,38,15,20, ,37,36,25,6,1, ,14,35,32,20,4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,27,13,1,3,2,4,9,24,12,5,5, ,51,33,21,27,24,18,35,39,40,19,2, ,11,7,92
,7%,,0.153061224489796,0.05859375, ,0.099644128113879,0.108695652173913,0.114695340501792,0.0707964601769911,0.132075471698113, ,0.062015503875969,0.106666666666667,0.145593869731801,0.0710900473933649,0.113636363636364, ,0.146245059288538,0.09375,0.0957854406130268,0.0689655172413793,0.0588235294117647, ,0.170731707317073,0.130111524163569,0.0774818401937046,0.111111111111111,0.0701754385964912, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.100746268656716,0.206349206349206,0.0204081632653061,0.0666666666666667,0.032258064516129,0.222222222222222,0.0849056603773585,0.127659574468085,0.0821917808219178,0.108695652173913,0.454545454545455, ,0.107594936708861,0.108552631578947,0.0981308411214953,0.125,0.114832535885167,0.169811320754717,0.113636363636364,0.108938547486034,0.126182965299685,0.102150537634409,0.2, ,0.0597826086956522,0.0486111111111111,0.126721763085399
M&S,24,,5,19, ,15,8,0,1,0, ,5,4,4,6,5, ,4,10,8,2,0, ,1,6,13,3,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,7,0,0,1,2,0,0,5,4,3,2, ,11,4,9,5,6,0,6,8,10,7,0, ,8,13,9
,2%,,0.0102040816326531,0.037109375, ,0.0533807829181495,0.0289855072463768,0,0.00884955752212389,0, ,0.0387596899224806,0.0177777777777778,0.0153256704980843,0.028436018957346,0.0284090909090909, ,0.0158102766798419,0.0260416666666667,0.0306513409961686,0.0229885057471264,0, ,0.0121951219512195,0.0223048327137546,0.0314769975786925,0.0166666666666667,0.0175438596491228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0261194029850746,0,0,0.0222222222222222,0.032258064516129,0,0,0.0265957446808511,0.0273972602739726,0.0652173913043478,0.181818181818182, ,0.0232067510548523,0.0131578947368421,0.0420560747663551,0.0231481481481481,0.0287081339712919,0,0.0194805194805195,0.0223463687150838,0.0315457413249211,0.0376344086021505,0, ,0.0434782608695652,0.0902777777777778,0.012396694214876
Baileys,306,,117,189, ,93,86,84,32,11, ,33,66,72,74,61, ,86,119,74,25,2, ,23,85,133,52,13, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,84,17,13,16,15,7,28,69,46,10,1, ,148,91,73,82,55,26,80,121,103,62,0, ,65,63,201
,20%,,0.238775510204082,0.369140625, ,0.330960854092527,0.311594202898551,0.301075268817204,0.283185840707965,0.207547169811321, ,0.255813953488372,0.293333333333333,0.275862068965517,0.350710900473934,0.346590909090909, ,0.339920948616601,0.309895833333333,0.283524904214559,0.28735632183908,0.117647058823529, ,0.280487804878049,0.315985130111524,0.322033898305085,0.288888888888889,0.228070175438596, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.313432835820896,0.26984126984127,0.26530612244898,0.355555555555556,0.241935483870968,0.388888888888889,0.264150943396226,0.367021276595745,0.315068493150685,0.217391304347826,0.0909090909090909, ,0.312236286919831,0.299342105263158,0.341121495327103,0.37962962962963,0.263157894736842,0.245283018867925,0.25974025974026,0.337988826815642,0.324921135646688,0.333333333333333,0, ,0.353260869565217,0.4375,0.276859504132231
Coca Cola,57,,30,27, ,14,15,20,5,3, ,11,8,21,13,4, ,13,22,18,3,1, ,2,13,27,12,3, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,16,0,2,5,8,1,6,8,9,2,0, ,29,14,12,10,13,4,18,22,19,9,1, ,8,7,45
,4%,,0.0612244897959184,0.052734375, ,0.0498220640569395,0.0543478260869565,0.0716845878136201,0.0442477876106195,0.0566037735849057, ,0.0852713178294574,0.0355555555555556,0.0804597701149425,0.0616113744075829,0.0227272727272727, ,0.0513833992094862,0.0572916666666667,0.0689655172413793,0.0344827586206897,0.0588235294117647, ,0.024390243902439,0.0483271375464684,0.0653753026634383,0.0666666666666667,0.0526315789473684, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0597014925373134,0,0.0408163265306122,0.111111111111111,0.129032258064516,0.0555555555555556,0.0566037735849057,0.0425531914893617,0.0616438356164384,0.0434782608695652,0, ,0.0611814345991561,0.0460526315789474,0.0560747663551402,0.0462962962962963,0.062200956937799,0.0377358490566038,0.0584415584415584,0.0614525139664804,0.0599369085173502,0.0483870967741935,0.1, ,0.0434782608695652,0.0486111111111111,0.0619834710743802
Smirnoff,53,,19,34, ,11,17,17,7,1, ,12,9,13,12,7, ,13,20,15,4,1, ,3,13,24,9,4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,16,2,1,1,5,2,7,8,9,0,2, ,24,18,7,11,17,8,20,17,16,11,0, ,15,8,33
,3%,,0.0387755102040816,0.06640625, ,0.0391459074733096,0.0615942028985507,0.0609318996415771,0.0619469026548673,0.0188679245283019, ,0.0930232558139535,0.04,0.0498084291187739,0.0568720379146919,0.0397727272727273, ,0.0513833992094862,0.0520833333333333,0.0574712643678161,0.0459770114942529,0.0588235294117647, ,0.0365853658536585,0.0483271375464684,0.0581113801452785,0.05,0.0701754385964912, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0.0597014925373134,0.0317460317460317,0.0204081632653061,0.0222222222222222,0.0806451612903226,0.111111111111111,0.0660377358490566,0.0425531914893617,0.0616438356164384,0,0.181818181818182, ,0.0506329113924051,0.0592105263157895,0.0327102803738318,0.0509259259259259,0.0813397129186603,0.0754716981132075,0.0649350649350649,0.0474860335195531,0.0504731861198738,0.0591397849462366,0, ,0.0815217391304348,0.0555555555555556,0.0454545454545455
Tesco,44,,23,21, ,17,7,10,7,3, ,10,18,8,3,5, ,8,23,9,3,1, ,8,12,17,6,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,10,3,4,2,4,0,4,8,7,2,0, ,15,12,6,8,10,4,11,18,12,10,0, ,12,7,28
